File Name                                               Total Reads             Timestamps
__________________________________________________________________________________________
/lib/x86_64-linux-gnu/libc-2.23.so                      7                       1, 3, 7, 39, 45, 53, 65
                        35                      2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70
/lib/x86_64-linux-gnu/libselinux.so.1                   1                       5
/lib/x86_64-linux-gnu/libpcre.so.3.13.2                 1                       9
/lib/x86_64-linux-gnu/libdl-2.23.so                     1                       11
/lib/x86_64-linux-gnu/libpthread-2.23.so                        1                       13
/proc/filesystems                       2                       15, 17
/etc/locale.alias                       2                       19, 21
/etc/nsswitch.conf                      2                       23, 25
/lib/x86_64-linux-gnu/libnss_compat-2.23.so                     1                       27
/lib/x86_64-linux-gnu/libnsl-2.23.so                    1                       29
/lib/x86_64-linux-gnu/libnss_nis-2.23.so                        1                       31
/lib/x86_64-linux-gnu/libnss_files-2.23.so                      1                       33
/proc/sys/kernel/ngroups_max                    2                       35, 37
/tmp/sh-thd-487363107687375979 (deleted)                        2                       41, 43
/home/user/test/user_file.txt                   4                       47, 55, 67, 69
/tmp/sh-thd-974726215050730439 (deleted)                        2                       49, 51
/tmp/sh-thd-1949452431612363480 (deleted)                       2                       57, 59
/tmp/sh-thd-3898904863123996143 (deleted)                       2                       61, 63
3                       1                       71
