File Name                                               Total Reads             Timestamps
__________________________________________________________________________________________
/lib/x86_64-linux-gnu/libc-2.23.so                      9                       1, 3, 9, 11, 13, 39, 73, 101, 105
                        100                     2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92, 94, 96, 98, 100, 102, 104, 106, 108, 110, 112, 114, 116, 118, 120, 122, 124, 126, 128, 130, 132, 134, 136, 138, 140, 142, 144, 146, 148, 150, 152, 154, 156, 158, 160, 162, 164, 166, 168, 170, 172, 174, 176, 178, 180, 182, 184, 186, 188, 190, 192, 194, 196, 198, 200
/home/user/test/in.txt                  2                       5, 7
/etc/nsswitch.conf                      8                       15, 17, 51, 53, 85, 87, 117, 119
/lib/x86_64-linux-gnu/libnss_compat-2.23.so                     4                       19, 55, 89, 121
/lib/x86_64-linux-gnu/libnsl-2.23.so                    4                       21, 57, 91, 123
/lib/x86_64-linux-gnu/libnss_nis-2.23.so                        4                       23, 59, 93, 125
/lib/x86_64-linux-gnu/libnss_files-2.23.so                      4                       25, 61, 95, 127
/lib/x86_64-linux-gnu/libpcre.so.3.13.2                 3                       27, 75, 107
/lib/x86_64-linux-gnu/libuuid.so.1.3.0                  1                       29
/lib/x86_64-linux-gnu/libssl.so.1.0.0                   1                       31
/lib/x86_64-linux-gnu/libcrypto.so.1.0.0                        1                       33
/lib/x86_64-linux-gnu/libz.so.1.2.8                     1                       35
/usr/lib/x86_64-linux-gnu/libidn.so.11.6.15                     1                       37
/lib/x86_64-linux-gnu/libpthread-2.23.so                        3                       41, 79, 111
/lib/x86_64-linux-gnu/libdl-2.23.so                     3                       43, 77, 109
/etc/wgetrc                     3                       45, 47, 49
/etc/localtime                  6                       63, 65, 97, 99, 129, 131
socket:[24262]                  2                       67, 69
/lib/x86_64-linux-gnu/libselinux.so.1                   2                       71, 103
/proc/filesystems                       4                       81, 83, 113, 115
socket:[24314]                  29                      133, 139, 141, 143, 145, 147, 149, 151, 153, 155, 157, 161, 163, 165, 167, 169, 171, 173, 175, 177, 179, 183, 185, 187, 189, 191, 193, 195, 197
/etc/lsb-release                        3                       135, 137, 159
anon_inode:[eventfd]                    2                       181, 199
10                      1                       201
